block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
1,1,check_out,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
1,2,toothbrush_look,apple02,toothbrush01,toothbrush,,,right,1,,black-background,LWL
1,3,ball_find,ball01,crayon02,ball,,,left,0,,black-background,LWL
1,4,apple_where,ball02,apple01,apple,,,right,1,,black-background,LWL
1,5,crayon_where,crayon01,toothbrush02,crayon,,,left,0,,black-background,LWL
2,6,ball_look,toothbrush03,ball02,ball,,,right,1,,black-background,LWL
2,7,crayon_find,apple03,crayon02,crayon,,,right,1,,black-background,LWL
2,8,toothbrush_where,toothbrush02,ball03,toothbrush,,,left,0,,black-background,LWL
2,9,apple_find,apple02,crayon03,apple,,,left,0,,black-background,LWL
2,10,check_out,beach_left,beach_right,AG,,,right,1,,black-background,LWL
3,11,toothbrush_find,crayon01,toothbrush03,toothbrush,,,right,1,,black-background,LWL
3,12,apple_look,apple03,toothbrush01,apple,,,left,0,,black-background,LWL
3,13,crayon_look,crayon03,ball01,crayon,,,left,0,,black-background,LWL
3,14,ball_where,apple01,ball03,ball,,,right,1,,black-background,LWL
4,15,toothbrush_find,toothbrush01,apple02,toothbrush,,,left,0,,black-background,LWL
4,16,ball_look,crayon02,ball01,ball,,,right,1,,black-background,LWL
4,17,apple_where,apple01,ball02,apple,,,left,0,,black-background,LWL
4,18,crayon_find,toothbrush02,crayon01,crayon,,,right,1,,black-background,LWL
4,19,check_out,ocean_left,ocean_right,AG,,,left,0,,black-background,LWL
5,20,ball_where,ball02,toothbrush03,ball,,,left,0,,black-background,LWL
5,21,crayon_look,crayon02,apple03,crayon,,,left,0,,black-background,LWL
5,22,toothbrush_where,ball03,toothbrush02,toothbrush,,,right,1,,black-background,LWL
5,23,apple_find,crayon03,apple02,apple,,,right,1,,black-background,LWL
6,24,toothbrush_look,toothbrush03,crayon01,toothbrush,,,left,0,,black-background,LWL
6,25,apple_look,toothbrush01,apple03,apple,,,right,1,,black-background,LWL
6,26,crayon_where,ball01,crayon03,crayon,,,right,1,,black-background,LWL
6,27,ball_find,ball03,apple01,ball,,,left,0,,black-background,LWL
6,28,check_out,fireworks_left,fireworks_right,AG,,,right,1,,black-background,LWL
7,29,acrossTheUniverse_70dB000,,,,toothbrush_atypical,toothbrush_typical,left,0,right,black-background,PLP
7,29,acrossTheUniverse_70dB001,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
7,29,acrossTheUniverse_70dB002,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
7,30,acrossTheUniverse_70dB003,,,,crayon_atypical,crayon_typical,left,0,right,black-background,PLP
7,30,acrossTheUniverse_70dB004,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
